YEAR,GDP
1980,2576 
1981,13966 
1982,14410 
1983,15531 
1984,17099 
1985,18232 
1986,19078 
1987,20063 
1988,21442 
1989,22879 
1990,23914 
1991,24366 
1992,25467 
1993,26442 
1994,27756 
1995,28763 
1996,30047 
1997,31554 
1998,32929 
1999,34602 
2000,36433 
2001,37241 
2002,38114 
2003,39592 
2004,41838 
2005,44218 
2006,46352 
2007,47955 
2008,48302 
2009,46909 
2010,48314 
2011,49746 
2012,51450 
2013,53001 
2014,54678 
2015,57045 
2016,59503 
2017,62118 
2018,64749 
2019,67348 
