YEAR,GDP
1980,9313 
1981,10218 
1982,9431 
1983,10216 
1984,10787 
1985,11464 
1986,16891 
1987,20367 
1988,24604 
1989,24522 
1990,25140 
1991,28542 
1992,30973 
1993,35377 
1994,38759 
1995,42516 
1996,37425 
1997,34307 
1998,30981 
1999,35014 
2000,37304 
2001,32711 
2002,31241 
2003,33718 
2004,36444 
2005,35781 
2006,34077 
2007,34038 
2008,37865 
2009,39321 
2010,42917 
2011,46175 
2012,46531 
2013,38468 
2014,37540 
2015,38522 
2016,39586 
2017,40945 
2018,42216 
2019,43504 
